epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,422.749,1.15801,1.85467,1.03427,0.96782,0.91135,0.95013,0.63935,1.05401,1.10952,1.02534,0.000664894,0.000664894,0.000664894
2,828.432,1.11442,0.84096,1.05193,0.95861,0.89588,0.93542,0.65817,1.02717,0.75891,1.04493,0.00131838,0.00131838,0.00131838
3,1216.5,1.0826,0.69204,1.05274,0.89892,0.90019,0.89843,0.63123,1.0333,0.78755,1.06575,0.00195866,0.00195866,0.00195866
4,1600.16,1.05083,0.63223,1.04581,0.96916,0.90909,0.94987,0.66896,1.02573,0.61567,1.07023,0.0019406,0.0019406,0.0019406
5,1984.6,1.00244,0.57864,1.02794,0.98152,0.91618,0.95807,0.70951,0.92413,0.55999,1.02234,0.0019208,0.0019208,0.0019208
6,2376.4,0.96142,0.55921,1.01585,0.98271,0.9164,0.96259,0.7237,0.91144,0.52713,1.01253,0.001901,0.001901,0.001901
7,2770.28,0.9273,0.53415,1.00705,0.9822,0.92585,0.95851,0.71871,0.87638,0.53513,0.99577,0.0018812,0.0018812,0.0018812
8,3159,0.91843,0.51025,1.00141,0.97426,0.9272,0.96686,0.74967,0.84594,0.4864,0.98773,0.0018614,0.0018614,0.0018614
9,3552.43,0.90771,0.4975,0.99788,0.97977,0.93673,0.96794,0.76042,0.82017,0.4555,0.97436,0.0018416,0.0018416,0.0018416
10,3941.1,0.8863,0.48531,0.99022,0.96969,0.92828,0.96725,0.74904,0.83384,0.47064,0.98318,0.0018218,0.0018218,0.0018218
11,4324.01,0.86725,0.46762,0.98586,0.97982,0.93927,0.97022,0.76681,0.78835,0.42558,0.96707,0.001802,0.001802,0.001802
12,4707.24,0.84898,0.46023,0.98688,0.98459,0.93746,0.96803,0.77162,0.76818,0.4332,0.95055,0.0017822,0.0017822,0.0017822
13,5090.17,0.84388,0.45664,0.97806,0.97929,0.94511,0.97376,0.7647,0.79266,0.43376,0.9644,0.0017624,0.0017624,0.0017624
14,5473.3,0.82851,0.44268,0.97533,0.9878,0.93985,0.96953,0.77226,0.77528,0.42353,0.95827,0.0017426,0.0017426,0.0017426
15,5856.76,0.81654,0.43877,0.96772,0.97684,0.93681,0.96837,0.7785,0.75811,0.42363,0.94617,0.0017228,0.0017228,0.0017228
16,6239.84,0.81057,0.43063,0.96223,0.98717,0.94584,0.97707,0.78421,0.75491,0.39591,0.94635,0.001703,0.001703,0.001703
17,6622.79,0.80478,0.42536,0.96051,0.97876,0.9381,0.97345,0.78906,0.73428,0.40056,0.94593,0.0016832,0.0016832,0.0016832
18,7005.78,0.79992,0.4195,0.95792,0.98065,0.94748,0.97718,0.80248,0.70681,0.38557,0.93748,0.0016634,0.0016634,0.0016634
19,7389.01,0.78453,0.41096,0.95347,0.98523,0.94713,0.97612,0.79731,0.71378,0.39223,0.9384,0.0016436,0.0016436,0.0016436
20,7772.32,0.7738,0.40545,0.94795,0.98893,0.94391,0.9769,0.80271,0.70609,0.37378,0.93154,0.0016238,0.0016238,0.0016238
21,8155.36,0.78362,0.40609,0.95093,0.98728,0.94971,0.98008,0.79937,0.70907,0.37544,0.93377,0.001604,0.001604,0.001604
22,8538.39,0.76898,0.39891,0.94944,0.98855,0.946,0.97874,0.8052,0.69232,0.36464,0.93164,0.0015842,0.0015842,0.0015842
23,8921.35,0.75686,0.39197,0.94315,0.99029,0.95035,0.9808,0.81203,0.67653,0.35793,0.92317,0.0015644,0.0015644,0.0015644
24,9304.74,0.75551,0.39439,0.94328,0.97996,0.96067,0.98178,0.81286,0.68839,0.35974,0.92203,0.0015446,0.0015446,0.0015446
25,9687.95,0.74908,0.38872,0.94221,0.98535,0.95381,0.97883,0.802,0.69082,0.3649,0.92885,0.0015248,0.0015248,0.0015248
26,10070.8,0.74586,0.38203,0.94189,0.98544,0.95616,0.98081,0.81021,0.69051,0.3524,0.92428,0.001505,0.001505,0.001505
27,10453.9,0.74234,0.37982,0.94079,0.98968,0.9568,0.98176,0.81698,0.66389,0.33699,0.91895,0.0014852,0.0014852,0.0014852
28,10837,0.73743,0.37758,0.93895,0.98999,0.95616,0.98273,0.81817,0.6581,0.33415,0.91512,0.0014654,0.0014654,0.0014654
29,11220.1,0.72922,0.37027,0.93441,0.98533,0.96389,0.9831,0.82047,0.65463,0.33586,0.91513,0.0014456,0.0014456,0.0014456
30,11603.5,0.71732,0.36362,0.92603,0.98282,0.95898,0.98232,0.82085,0.65291,0.33048,0.9155,0.0014258,0.0014258,0.0014258
31,11986.7,0.71409,0.36435,0.93229,0.98281,0.95826,0.97926,0.81977,0.65227,0.33348,0.91704,0.001406,0.001406,0.001406
32,12369.1,0.70887,0.3623,0.92984,0.98421,0.96475,0.9825,0.82199,0.65613,0.33506,0.91813,0.0013862,0.0013862,0.0013862
33,12751.7,0.71478,0.35895,0.93307,0.99045,0.95616,0.98255,0.82844,0.64454,0.32413,0.91046,0.0013664,0.0013664,0.0013664
34,13134.8,0.70602,0.35953,0.9278,0.98868,0.9571,0.98181,0.82355,0.66209,0.32623,0.91367,0.0013466,0.0013466,0.0013466
35,13518,0.6956,0.35189,0.92596,0.98286,0.96113,0.98231,0.82253,0.63902,0.32175,0.91133,0.0013268,0.0013268,0.0013268
36,13901.4,0.69859,0.35246,0.92073,0.98817,0.9626,0.98204,0.82619,0.64029,0.31979,0.90707,0.001307,0.001307,0.001307
37,14284.4,0.69297,0.34638,0.92478,0.98218,0.9595,0.9825,0.82734,0.63471,0.31709,0.90452,0.0012872,0.0012872,0.0012872
38,14667.2,0.68684,0.34876,0.92281,0.98112,0.97184,0.98388,0.8306,0.63527,0.31382,0.90645,0.0012674,0.0012674,0.0012674
39,15050.3,0.68293,0.3427,0.92129,0.98874,0.96196,0.98217,0.83078,0.62765,0.31362,0.903,0.0012476,0.0012476,0.0012476
40,15433.5,0.68253,0.33955,0.91569,0.99266,0.95937,0.9834,0.83733,0.61278,0.30138,0.89963,0.0012278,0.0012278,0.0012278
41,15816.6,0.66848,0.33263,0.91171,0.98914,0.96776,0.98403,0.8355,0.62055,0.30901,0.90209,0.001208,0.001208,0.001208
42,16199.7,0.66804,0.33705,0.9196,0.98613,0.9629,0.98295,0.83623,0.61278,0.30237,0.89989,0.0011882,0.0011882,0.0011882
43,16582.6,0.67134,0.33624,0.91574,0.98803,0.96583,0.98342,0.8385,0.60493,0.30217,0.8971,0.0011684,0.0011684,0.0011684
44,16965.5,0.66259,0.33032,0.91218,0.98893,0.96712,0.98305,0.84027,0.59939,0.29682,0.89252,0.0011486,0.0011486,0.0011486
45,17348.8,0.66187,0.32822,0.91193,0.98759,0.96905,0.98329,0.84182,0.60264,0.29282,0.89236,0.0011288,0.0011288,0.0011288
46,17731.7,0.65568,0.32408,0.90987,0.98601,0.96776,0.98294,0.83844,0.60225,0.29237,0.89419,0.001109,0.001109,0.001109
47,18114.9,0.6575,0.32014,0.90761,0.98815,0.96811,0.98354,0.8449,0.60122,0.28967,0.88966,0.0010892,0.0010892,0.0010892
48,18497.5,0.65198,0.32175,0.90781,0.98877,0.96487,0.98351,0.84277,0.60089,0.2953,0.89638,0.0010694,0.0010694,0.0010694
49,18880.4,0.64423,0.31846,0.90797,0.98042,0.97099,0.98619,0.84438,0.59604,0.2911,0.89234,0.0010496,0.0010496,0.0010496
50,19263,0.64555,0.31803,0.90692,0.99142,0.96841,0.9841,0.84536,0.59189,0.28324,0.88832,0.0010298,0.0010298,0.0010298
51,19646.7,0.64182,0.31836,0.90043,0.99041,0.97292,0.98793,0.84786,0.58971,0.28659,0.88834,0.00101,0.00101,0.00101
52,20029.7,0.63415,0.31303,0.89887,0.99143,0.9698,0.98435,0.84883,0.5842,0.28087,0.89036,0.0009902,0.0009902,0.0009902
53,20412.5,0.63592,0.30915,0.89825,0.99221,0.96583,0.98699,0.84839,0.57927,0.27595,0.88902,0.0009704,0.0009704,0.0009704
54,20795.5,0.63337,0.30828,0.89855,0.9858,0.97163,0.98432,0.85012,0.58454,0.2794,0.88862,0.0009506,0.0009506,0.0009506
55,21178.3,0.62239,0.30552,0.89822,0.99255,0.97034,0.98421,0.85021,0.579,0.27554,0.8888,0.0009308,0.0009308,0.0009308
56,21561.2,0.62103,0.30347,0.89936,0.98819,0.97081,0.98795,0.85077,0.57633,0.27385,0.88541,0.000911,0.000911,0.000911
57,21944.3,0.61952,0.30229,0.89827,0.98988,0.97292,0.98431,0.85139,0.58169,0.27617,0.88639,0.0008912,0.0008912,0.0008912
58,22327.2,0.61896,0.30294,0.89522,0.99209,0.96996,0.98398,0.85146,0.57572,0.275,0.88186,0.0008714,0.0008714,0.0008714
59,22710.2,0.61474,0.30052,0.89073,0.99134,0.97421,0.98436,0.85238,0.57149,0.26815,0.88195,0.0008516,0.0008516,0.0008516
60,23092.7,0.61424,0.30041,0.8926,0.98953,0.97507,0.98424,0.85632,0.56527,0.26585,0.87936,0.0008318,0.0008318,0.0008318
61,23476,0.60835,0.29689,0.89505,0.99211,0.97289,0.98441,0.85629,0.56467,0.2684,0.8801,0.000812,0.000812,0.000812
62,23859,0.60228,0.29263,0.89092,0.99081,0.97273,0.98439,0.85545,0.56388,0.26278,0.88171,0.0007922,0.0007922,0.0007922
