epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3542,3.70275,10.2188,2.0042,0,0,0,0,3.65666,7.67161,2.18802,0.000619048,0.000619048,0.000619048
2,22.8206,3.78253,7.32181,1.60762,0.0008,0.14286,0.00023,5e-05,2.71182,5.12931,1.36111,0.00126026,0.00126026,0.00126026
3,32.4063,3.28067,5.1768,1.37981,0.0012,0.21429,0.00034,9e-05,3.00551,5.46989,1.35441,0.00187507,0.00187507,0.00187507
4,42.0692,3.09082,4.42517,1.29195,0.00127,0.22619,0.00035,6e-05,3.01288,6.1427,1.34993,0.0018812,0.0018812,0.0018812
5,51.7747,2.94026,4.24112,1.22773,0.00287,0.5119,0.00174,0.00055,2.54012,6.1062,1.2789,0.0018416,0.0018416,0.0018416
6,61.432,2.70231,3.67978,1.12199,0.00307,0.54762,0.00237,0.00082,2.39894,5.46455,1.2548,0.001802,0.001802,0.001802
7,71.002,2.68912,3.59318,1.06663,0.00409,0.41667,0.02809,0.00862,2.63284,4.26875,1.39895,0.0017624,0.0017624,0.0017624
8,80.7284,2.57886,3.2356,1.09391,0.18115,0.15476,0.06949,0.02096,2.71431,5.79283,1.46333,0.0017228,0.0017228,0.0017228
9,90.4033,2.49911,3.2033,1.10572,0.44918,0.26212,0.29159,0.1028,2.40715,3.42307,1.31241,0.0016832,0.0016832,0.0016832
10,100.07,2.65981,2.86385,1.08712,0.33942,0.25,0.21004,0.08102,2.26876,3.45527,1.23475,0.0016436,0.0016436,0.0016436
11,109.719,2.54119,2.71774,1.0481,0.30586,0.20238,0.15955,0.04728,2.70241,4.07297,1.27979,0.001604,0.001604,0.001604
12,119.387,2.58153,2.66192,1.07129,0.34162,0.25,0.18031,0.05838,2.68966,3.5138,1.30509,0.0015644,0.0015644,0.0015644
13,128.826,2.27022,2.39756,1.02699,0.32341,0.34524,0.29503,0.10998,2.52772,3.37948,1.21608,0.0015248,0.0015248,0.0015248
14,138.416,2.28677,2.22818,1.00594,0.70852,0.28571,0.37452,0.10879,2.67022,4.13208,1.22857,0.0014852,0.0014852,0.0014852
15,147.972,2.26721,2.15089,1.06267,0.45528,0.39286,0.3979,0.12535,2.29377,3.96815,1.15962,0.0014456,0.0014456,0.0014456
